sample,libraryname,otu,Kingdom,Phylum,Class,Order,Family,Genus,numseqs,pctseqs,prefix,num,donor_id,new_id
FC0006,MSK,ASV00008;seqs=14449796;samples=6301,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,8,3.630587701384162e-4,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00012;seqs=7194524;samples=1616,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,13,5.899705014749262e-4,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00014;seqs=6209692;samples=3211,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus,4,1.815293850692081e-4,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00028;seqs=2966750;samples=2112,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,96,0.004356705241660994,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00030;seqs=2936350;samples=3263,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,312,0.01415929203539823,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00031;seqs=2665438;samples=3624,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,8,3.630587701384162e-4,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00038;seqs=2116275;samples=1754,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,490,0.02223734967097799,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00039;seqs=2114621;samples=1266,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,120,0.005445881552076242,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00041;seqs=2061954;samples=2003,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,74,0.0033582936237803495,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00042;seqs=1991223;samples=2333,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,530,0.02405264352167007,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00045;seqs=1969111;samples=1752,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,215,0.009757204447469935,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00046;seqs=1941607;samples=1390,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,154,0.006988881325164511,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00047;seqs=1940829;samples=1430,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,2053,0.09316995688677104,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00049;seqs=1913653;samples=1371,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,181,0.008214204674381666,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00053;seqs=1858811;samples=1487,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,1465,0.06648513728159745,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00056;seqs=1763330;samples=2231,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,7,3.176764238711141e-4,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00057;seqs=1761734;samples=1936,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,262,0.01189017472203313,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00064;seqs=1538281;samples=1965,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,98,0.0044474699341955975,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00071;seqs=1409865;samples=1466,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,1181,0.05359655094168368,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00072;seqs=1401860;samples=780,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,15,6.807351940095302e-4,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00073;seqs=1307642;samples=1985,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,163,0.00739732244157023,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00077;seqs=1181443;samples=1637,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,59,0.002677558429770819,MSK,6,FC0006,FC0006
FC0006,MSK,ASV00078;seqs=1164933;samples=2190,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,101,0.004583616972997504,MSK,6,FC0006,FC0006
